Symbol,log2FC,p_value,FDR,consistency,significant
LOC650867,0.0787710843373494,0.09028331280081688,0.1470050868953393,0.5060240963855421,False
LOC650869,0.047036144578313274,0.2899699421633148,0.39583791203234214,0.5542168674698795,False
LOC650872,0.0009397590361445551,0.9828055300932296,0.9885418056763534,0.5180722891566265,False
LOC650874,0.005000000000000006,0.9347859715026987,0.9564027796110458,0.43373493975903615,False
LOC650881,-0.012457831325301181,0.7207178420818292,0.7997148297885347,0.5301204819277109,False
LOC650883,0.2337349397590361,0.002194457724848966,0.004866794919375616,0.6024096385542169,False
LOC650885,0.006939759036144627,0.9031141411481363,0.9352447997561095,0.5783132530120482,False
LOC650887,0.06637349397590361,0.12000213138431924,0.18877406767357666,0.5783132530120482,False
LOC650889,-0.13101204819277112,0.020251237641197604,0.038562236945514,0.5783132530120482,False
LOC650893,-0.05660240963855422,0.27367907707076033,0.37787765105455323,0.5060240963855421,False
LOC650898,-0.17999999999999997,0.041247317277630306,0.0734774701731612,0.5662650602409639,False
LOC650901,0.0017831325301204569,0.9750661638765062,0.982807776904284,0.5662650602409639,False
LOC650902,0.04966265060240962,0.39648597684224707,0.5085900509712975,0.5421686746987951,False
LOC650905,0.02938554216867469,0.511641952451941,0.6203494076054418,0.5421686746987951,False
LOC650909,0.03422891566265059,0.3337314984518255,0.4424246649616696,0.5301204819277109,False
LOC650914,0.04509638554216867,0.21164156145556776,0.30610957549773404,0.5301204819277109,False
LOC650919,-1.5391807228915662,5.497140044594636e-24,1.3697085478402305e-22,0.9518072289156626,True
LOC650921,0.02619277108433739,0.6732071205905269,0.7620195393914573,0.5301204819277109,False
LOC650924,0.07304819277108435,0.020893351173959754,0.039657304623258685,0.6144578313253012,False
LOC650930,0.05531325301204818,0.3094409411362185,0.41680402088766866,0.5421686746987951,False
LOC650933,-0.04856626506024098,0.5061230671489084,0.6153589575735151,0.4939759036144578,False
LOC650938,-0.021168674698795187,0.6439606358442845,0.738576194755809,0.5180722891566265,False
LOC650942,0.024638554216867448,0.5651489934882667,0.6701184057022376,0.4939759036144578,False
LOC650943,-0.08463855421686751,0.07720951268306285,0.12817867414885922,0.5662650602409639,False
LOC650946,-1.0753855421686747,3.369982973475701e-08,1.2830345232747954e-07,0.6867469879518072,True
LOC650950,-0.008903614457831329,0.8851970555740072,0.922102469415741,0.4457831325301205,False
LOC650954,-0.24103614457831327,0.007308473167888578,0.015008682385460562,0.6024096385542169,False
LOC650957,0.018433734939759056,0.6599129873165315,0.7513846125109681,0.4819277108433735,False
LOC650962,0.12292771084337353,0.005247560935999115,0.011030153698406799,0.6024096385542169,False
LOC650965,-0.003602409638554189,0.9394167201216393,0.9592053144078304,0.4819277108433735,False
LOC650967,-0.043397590361445755,0.37333229354646463,0.4845195917400119,0.5421686746987951,False
LOC650968,0.1240361445783133,0.0009897309371877856,0.002303426497306492,0.5903614457831325,False
LOC650974,-0.014638554216867453,0.729455204657711,0.8058248472140417,0.5301204819277109,False
LOC650975,0.02753012048192774,0.5612725045668313,0.6664849008672604,0.4819277108433735,False
LOC650976,-0.07366265060240963,0.08268898364313533,0.1359886058492057,0.5421686746987951,False
LOC650979,-0.021566265060240977,0.7075965152723384,0.789598006339516,0.5662650602409639,False
LOC650982,-0.35439759036144586,0.008280722179578535,0.01686371855975648,0.6265060240963856,False
LOC650984,-0.213,0.01502950838317532,0.029264093306865226,0.6506024096385542,False
LOC650985,0.04355421686746988,0.35747938970864146,0.46824609588033356,0.4939759036144578,False
LOC650990,-0.09206024096385543,0.0631758534212256,0.10739684002913326,0.5662650602409639,False
LOC650995,0.013662650602409648,0.8008169999301797,0.8605915802063014,0.5060240963855421,False
LOC650999,0.05356626506024094,0.21468109638648294,0.3096838788617392,0.5421686746987951,False
LOC651004,0.0027228915662650655,0.9462151616686425,0.9640253789687732,0.5662650602409639,False
LOC651006,0.011987951807228923,0.8028001068327425,0.8621036183125779,0.4819277108433735,False
LOC651007,-0.03304819277108433,0.5081762954470416,0.6170001888117567,0.5301204819277109,False
LOC651008,0.007349397590361444,0.8785637255905933,0.9174018462022203,0.5662650602409639,False
LOC651012,0.03240963855421686,0.3568344387177638,0.4675457417068352,0.5060240963855421,False
LOC651017,0.7475542168674698,6.043047453539731e-10,2.766015243217898e-09,0.7710843373493976,False
LOC651022,0.006722891566265085,0.8747487830241675,0.914920406205436,0.5060240963855421,False
LOC651023,-0.18281927710843374,0.001445428638508821,0.0032861219449208585,0.6746987951807228,False
LOC651029,0.18044578313253012,0.04415978619500775,0.0780427204446681,0.5903614457831325,False
LOC651031,0.017361445783132572,0.72765553194536,0.8047453259440055,0.5421686746987951,False
LOC651035,-0.005192771084337355,0.8962487464994809,0.9300660049335833,0.40963855421686746,False
LOC651040,0.05856626506024095,0.11410840040048953,0.18056339529691198,0.5060240963855421,False
LOC651044,-0.1404096385542169,0.009244617587269362,0.01870094397424718,0.5662650602409639,False
LOC651051,0.10118072289156628,0.023258690952705642,0.04373899303938731,0.6385542168674698,False
LOC651055,0.11873493975903612,0.005936193846666746,0.012378423890098526,0.6024096385542169,False
LOC651058,0.09915662650602408,0.013582762652748574,0.026699542720284634,0.5783132530120482,False
LOC651059,-0.01350602409638558,0.7146174255423563,0.7952002145830436,0.5060240963855421,False
LOC651060,0.04457831325301205,0.4315448426975315,0.5438401346522614,0.5180722891566265,False
LOC651062,0.009325301204819267,0.8245681667217418,0.8785447988189937,0.5060240963855421,False
LOC651064,-0.3169277108433735,4.777197691123182e-06,1.4485328875110102e-05,0.7349397590361446,False
LOC651065,0.006927710843373501,0.8680310292735739,0.9103644055208691,0.4939759036144578,False
LOC651073,0.11078313253012048,0.041757720511963525,0.07430344896302386,0.6265060240963856,False
LOC651075,0.003734939759036156,0.9490798906600085,0.965783835614375,0.4457831325301205,False
LOC651076,-0.6013493975903614,1.8031384421025015e-05,5.160517714825924e-05,0.6867469879518072,False
LOC651079,0.026024096385542154,0.5404910433824548,0.6480390302408168,0.4819277108433735,False
LOC651091,0.006602409638554207,0.8724399450682356,0.9133692264418071,0.5662650602409639,False
LOC651096,0.07518072289156627,0.0802448403087142,0.13250868086808318,0.5542168674698795,False
LOC651100,-0.031674698795180735,0.3920804378464667,0.5039166585234977,0.4819277108433735,False
LOC651101,0.2260240963855422,0.0031629556029872164,0.0068580576612967525,0.6626506024096386,False
LOC651102,-0.02273493975903611,0.5980273405448732,0.6989394745928044,0.5301204819277109,False
LOC651104,0.08740963855421688,0.10007908519972084,0.16103807257943695,0.5421686746987951,False
LOC651106,-0.03449397590361447,0.699224283003433,0.783037626429869,0.5421686746987951,False
LOC651107,-0.01289156626506027,0.747828725958601,0.8203511184678025,0.5060240963855421,False
LOC651108,0.02189156626506021,0.6440764639961204,0.7385984971401128,0.5542168674698795,False
LOC651111,-0.009518072289156675,0.86915071700499,0.9112757270279817,0.46987951807228917,False
LOC651112,-0.011939759036144552,0.8425118443031823,0.8917991727999066,0.5783132530120482,False
LOC651113,0.06842168674698802,0.1222229195404875,0.19168676857838615,0.5662650602409639,False
LOC651115,-0.013506024096385516,0.7833623651837089,0.8474305180570466,0.5421686746987951,False
LOC651116,0.33722891566265056,0.000497645670835978,0.0012034321165463196,0.6144578313253012,False
LOC651118,-0.054674698795180735,0.22023061962265483,0.31610623805012067,0.5662650602409639,False
LOC651122,0.04884337349397588,0.21924992189395143,0.31501852552706,0.5542168674698795,False
LOC651123,-0.0712409638554217,0.21088655949988097,0.3051910844574192,0.5542168674698795,False
LOC651125,-0.05555421686746984,0.3209353208187012,0.42890284522104216,0.4939759036144578,False
LOC651126,0.06693975903614462,0.17443452741259333,0.2607184397653179,0.5421686746987951,False
LOC651128,0.001903614457831303,0.9597563210626544,0.9731447113524881,0.5421686746987951,False
LOC651131,0.0663132530120482,0.11954348016241997,0.18816892311174138,0.5662650602409639,False
LOC651133,0.1383373493975904,0.03627581618281425,0.06544155181469256,0.5542168674698795,False
LOC651137,0.04654216867469872,0.5537028470408213,0.6598370071537611,0.5301204819277109,False
LOC651140,0.04525301204819272,0.40899732375897885,0.5214961866694277,0.5542168674698795,False
LOC651141,0.09732530120481923,0.007341507204994505,0.015070438416449625,0.6265060240963856,False
LOC651143,-0.8945060240963854,9.425804685568778e-07,3.077023882983058e-06,0.7108433734939759,False
LOC651150,0.08273493975903617,0.12003786053630798,0.18881459646003004,0.6024096385542169,False
LOC651158,-0.16307228915662644,0.00020876409608605956,0.0005293490087141787,0.6385542168674698,False
LOC651166,-0.03853012048192771,0.6012679174633664,0.701721658578669,0.5060240963855421,False
LOC651167,-0.04078313253012049,0.36118764379969204,0.47220379558374864,0.4939759036144578,False
LOC651168,0.01263855421686748,0.8516075088518679,0.8988163149024417,0.5180722891566265,False
LOC651169,0.05220481927710846,0.33425014046289325,0.44303010901788337,0.5180722891566265,False
LOC651172,0.039204819277108456,0.2839170362934322,0.3891254383069487,0.6024096385542169,False
LOC651175,0.06861445783132529,0.06361180841404017,0.10804409173809468,0.5783132530120482,False
LOC651177,0.07560240963855422,0.042916941877262464,0.07611063097647662,0.5180722891566265,False
LOC651178,-0.04921686746987951,0.2209987855775711,0.31710147236849456,0.5301204819277109,False
LOC651180,-0.1678433734939759,0.0006584489423471037,0.001565947564112398,0.6024096385542169,False
LOC651186,0.032795180722891566,0.5016535687601856,0.6111515558499724,0.4819277108433735,False
LOC651189,0.06673493975903616,0.11785651470821666,0.18589309530516657,0.5542168674698795,False
LOC651190,0.03566265060240961,0.42803691171256053,0.5401954079753716,0.5662650602409639,False
